161	(106, 213, 0)	yellowgreen	9	5
162	(85, 114, 56)	yellowgreen	10	1
163	(85, 141, 29)	yellowgreen	10	3
164	(85, 170, 0)	yellowgreen	10	5
165	(64, 85, 43)	yellowgreen	11	1
166	(64, 106, 21)	yellowgreen	11	3
167	(64, 128, 0)	yellowgreen	11	5
168	(43, 56, 29)	yellowgreen	12	1
169	(43, 71, 14)	yellowgreen	12	3
170	(43, 85, 0)	yellowgreen	12	5
171	(248, 252, 248)	green	1	1
172	(247, 253, 247)	green	1	3
173	(244, 255, 244)	green	1	5
174	(241, 248, 241)	green	2	1
175	(237, 252, 237)	green	2	3
176	(234, 255, 234)	green	2	5
177	(226, 241, 226)	green	3	1
178	(220, 248, 220)	green	3	3
179	(213, 255, 213)	green	3	5
180	(199, 226, 199)	green	4	1
181	(184, 241, 184)	green	4	3
182	(170, 255, 170)	green	4	5
183	(170, 213, 170)	green	5	1
184	(149, 234, 149)	green	5	3
185	(128, 255, 128)	green	5	5
186	(141, 199, 141)	green	6	1
187	(114, 226, 114)	green	6	3
188	(85, 255, 85)	green	6	5
189	(114, 184, 114)	green	7	1
190	(78, 220, 78)	green	7	3
191	(43, 255, 43)	green	7	5
192	(85, 170, 85)	green	8	1
193	(43, 213, 43)	green	8	3
194	(0, 255, 0)	green	8	5
195	(71, 141, 71)	green	9	1
196	(35, 177, 35)	green	9	3
197	(0, 213, 0)	green	9	5
198	(56, 114, 56)	green	10	1
199	(29, 141, 29)	green	10	3
200	(0, 170, 0)	green	10	5
201	(43, 85, 43)	green	11	1
202	(21, 106, 21)	green	11	3
203	(0, 128, 0)	green	11	5
204	(29, 56, 29)	green	12	1
205	(14, 71, 14)	green	12	3
206	(0, 85, 0)	green	12	5
207	(248, 252, 250)	mediumseagreen	1	1
208	(247, 253, 250)	mediumseagreen	1	3
209	(244, 255, 250)	mediumseagreen	1	5
210	(241, 248, 244)	mediumseagreen	2	1
211	(237, 252, 244)	mediumseagreen	2	3
212	(234, 255, 244)	mediumseagreen	2	5
213	(226, 241, 234)	mediumseagreen	3	1
214	(220, 248, 234)	mediumseagreen	3	3
215	(213, 255, 234)	mediumseagreen	3	5
216	(199, 226, 213)	mediumseagreen	4	1
217	(184, 241, 213)	mediumseagreen	4	3
218	(170, 255, 213)	mediumseagreen	4	5
219	(170, 213, 191)	mediumseagreen	5	1
220	(149, 234, 191)	mediumseagreen	5	3
221	(128, 255, 191)	mediumseagreen	5	5
222	(141, 199, 170)	mediumseagreen	6	1
223	(114, 226, 170)	mediumseagreen	6	3
